app,full_rho,loo_rho,delta,abs_delta,loo_p,influence_rank
BBC News,0.011690817662978083,0.1991194301007505,0.18742861243777242,0.18742861243777242,0.49494914465849477,1
Facebook,0.011690817662978083,-0.15504113644693698,-0.16673195410991506,0.16673195410991506,0.5966364876474145,2
Instagram,0.011690817662978083,-0.1297146214731185,-0.14140543913609657,0.14140543913609657,0.658509127082782,3
CNN,0.011690817662978083,0.09613312487439378,0.0844423072114157,0.0844423072114157,0.743728776499359,4
The Guardian,0.011690817662978083,0.09613312487439378,0.0844423072114157,0.0844423072114157,0.743728776499359,5
WhatsApp,0.011690817662978083,0.06533876464549486,0.05364794698251678,0.05364794698251678,0.8243779991057781,6
Telegram,0.011690817662978083,-0.04102086320090072,-0.0527116808638788,0.0527116808638788,0.8892660404198544,7
Pinterest,0.011690817662978083,-0.035438495596916704,-0.047129313259894785,0.047129313259894785,0.9042673845313843,8
Facebook Messenger,0.011690817662978083,0.052107582984927944,0.04041676532194986,0.04041676532194986,0.859579398035101,9
Signal,0.011690817662978083,-0.027685917222667313,-0.039376734885645394,0.039376734885645394,0.9251490144608243,10
TikTok,0.011690817662978083,-0.023204547383474362,-0.034895365046452444,0.034895365046452444,0.9372409004056614,11
Snapchat,0.011690817662978083,0.04102086320090072,0.029330045537922636,0.029330045537922636,0.8892660404198544,12
Reddit,0.011690817662978083,0.018826423711413773,0.00713560604843569,0.00713560604843569,0.9490663753626952,13
X,0.011690817662978083,0.005537183444533463,-0.00615363421844462,0.00615363421844462,0.985011437315182,14
LinkedIn,0.011690817662978083,0.0099780478056245,-0.0017127698573535834,0.0017127698573535834,0.9729935943120187,15
