package,hostname,matched_any,matched_tracking_oriented,categories,tracking_oriented_categories,first_party_property,third_party_tracking_oriented
bbc.mobile.news.ww,api.permutive.app,True,True,Advertising,Advertising,False,True
bbc.mobile.news.ww,api.permutive.com,True,True,Advertising,Advertising,False,True
bbc.mobile.news.ww,cdn.optimizely.com,True,True,Advertising,Advertising,False,True
bbc.mobile.news.ww,census-app.scorecardresearch.com,True,True,Analytics,Analytics,False,True
bbc.mobile.news.ww,elb.the-ozone-project.com,True,True,Advertising,Advertising,False,True
bbc.mobile.news.ww,fw.adsafeprotected.com,True,True,Advertising|FingerprintingGeneral,Advertising|FingerprintingGeneral,False,True
bbc.mobile.news.ww,googleads.g.doubleclick.net,True,True,Advertising|Email|FingerprintingGeneral,Advertising|Email|FingerprintingGeneral,False,True
bbc.mobile.news.ww,logx.optimizely.com,True,True,Advertising,Advertising,False,True
bbc.mobile.news.ww,pagead2.googlesyndication.com,True,True,Advertising|FingerprintingGeneral,Advertising|FingerprintingGeneral,False,True
bbc.mobile.news.ww,ping.chartbeat.net,True,True,Analytics,Analytics,False,True
bbc.mobile.news.ww,pub.doubleverify.com,True,True,Analytics|FingerprintingGeneral,Analytics|FingerprintingGeneral,False,True
bbc.mobile.news.ww,r4---sn-vgqsrn6y.c.2mdn.net,True,True,Advertising|FingerprintingGeneral,Advertising|FingerprintingGeneral,False,True
bbc.mobile.news.ww,tpc.googlesyndication.com,True,True,Advertising|FingerprintingGeneral,Advertising|FingerprintingGeneral,False,True
bbc.mobile.news.ww,tps.doubleverify.com,True,True,Analytics|FingerprintingGeneral,Analytics|FingerprintingGeneral,False,True
bbc.mobile.news.ww,tpsc-ue1.doubleverify.com,True,True,Analytics|FingerprintingGeneral,Analytics|FingerprintingGeneral,False,True
com.cnn.mobile.android.phone,dt.adsafeprotected.com,True,True,Advertising|FingerprintingGeneral,Advertising|FingerprintingGeneral,False,True
com.cnn.mobile.android.phone,googleads.g.doubleclick.net,True,True,Advertising|Email|FingerprintingGeneral,Advertising|Email|FingerprintingGeneral,False,True
com.cnn.mobile.android.phone,jsconfig.adsafeprotected.com,True,True,Advertising|FingerprintingGeneral,Advertising|FingerprintingGeneral,False,True
com.cnn.mobile.android.phone,mobile.adsafeprotected.com,True,True,Advertising|FingerprintingGeneral,Advertising|FingerprintingGeneral,False,True
com.cnn.mobile.android.phone,pagead2.googlesyndication.com,True,True,Advertising|FingerprintingGeneral,Advertising|FingerprintingGeneral,False,True
com.cnn.mobile.android.phone,ping.chartbeat.net,True,True,Analytics,Analytics,False,True
com.cnn.mobile.android.phone,pixel.adsafeprotected.com,True,True,Advertising|FingerprintingGeneral,Advertising|FingerprintingGeneral,False,True
com.cnn.mobile.android.phone,securepubads.g.doubleclick.net,True,True,Advertising|Email|FingerprintingGeneral,Advertising|Email|FingerprintingGeneral,False,True
com.cnn.mobile.android.phone,ssbsync.smartadserver.com,True,True,Advertising,Advertising,False,True
com.cnn.mobile.android.phone,tpc.googlesyndication.com,True,True,Advertising|FingerprintingGeneral,Advertising|FingerprintingGeneral,False,True
com.cnn.mobile.android.phone,www.googletagservices.com,True,True,Advertising|FingerprintingGeneral,Advertising|FingerprintingGeneral,False,True
com.guardian,aax-events-cell01-cf.us-east.aps.axp.amazon-adsystem.com,True,True,Advertising,Advertising,False,True
com.guardian,api.permutive.app,True,True,Advertising,Advertising,False,True
com.guardian,app.adjust.com,True,True,Advertising|FingerprintingGeneral,Advertising|FingerprintingGeneral,False,True
com.guardian,cdn.permutive.app,True,True,Advertising,Advertising,False,True
com.guardian,cdn.privacy-mgmt.com,True,True,ConsentManagers,ConsentManagers,False,True
com.guardian,cell8003.iad.mobile.bid-na.ads.aps.amazon-adsystem.com,True,True,Advertising,Advertising,False,True
com.guardian,census-app.scorecardresearch.com,True,True,Analytics,Analytics,False,True
com.guardian,googleads.g.doubleclick.net,True,True,Advertising|Email|FingerprintingGeneral,Advertising|Email|FingerprintingGeneral,False,True
com.guardian,mdtb-cf-2.ads.aps.amazon-adsystem.com,True,True,Advertising,Advertising,False,True
com.guardian,pagead2.googlesyndication.com,True,True,Advertising|FingerprintingGeneral,Advertising|FingerprintingGeneral,False,True
com.guardian,tpsc-ue1.doubleverify.com,True,True,Analytics|FingerprintingGeneral,Analytics|FingerprintingGeneral,False,True
com.guardian,ts.amazon-adsystem.com,True,True,Advertising,Advertising,False,True
com.guardian,tungsten-service.prod.na.adsqtungsten.a9.amazon.dev,True,True,Advertising,Advertising,False,True
com.pinterest,cdn-f.adsmoloco.com,True,True,Advertising,Advertising,False,True
com.twitter.android,cm.g.doubleclick.net,True,True,Advertising|Email|FingerprintingGeneral,Advertising|Email|FingerprintingGeneral,False,True
com.zhiliaoapp.musically,tpsc-ue1.doubleverify.com,True,True,Analytics|FingerprintingGeneral,Analytics|FingerprintingGeneral,False,True
